Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
ATUS,"Altice USA, Inc.",26.23,16.52,37.018680899733134,Consumer Services
ATV,"Acorn International, Inc.",17.838,21.9,-22.771611167171194,Consumer Services
AU,AngloGold Ashanti Limited,20.11,12.55,37.593237195425154,Basic Industries
AUO,AU Optronics Corp,2.43,3.94,-62.13991769547324,Technology
AUY,Yamana Gold Inc.,3.41,2.36,30.79178885630499,Basic Industries
AVA,Avista Corporation,45.18,42.48,5.976095617529887,Public Utilities
AVAL,Grupo Aval Acciones y Valores S.A.,7.07,5.9,16.548797736916548,Finance
AVB,"AvalonBay Communities, Inc.",200.62,174.05,13.243943774299668,Consumer Services
AVD,American Vanguard Corporation,13.34,15.19,-13.868065967016488,Basic Industries
AVH,Avianca Holdings S.A.,3.88,4.06,-4.639175257731951,Transportation
AVLR,"Avalara, Inc.",77.5,31.15,59.80645161290323,Technology
AVNS,"Avanos Medical, Inc.",37.92,44.79,-18.117088607594926,Health Care
AVP,"Avon Products, Inc.",4.28,1.52,64.48598130841123,Consumer Non-Durables
AVX,AVX Corporation,14.52,15.25,-5.027548209366394,Capital Goods
AVY,Avery Dennison Corporation,108.34,89.83,17.085102455233528,Consumer Durables
AVYA,Avaya Holdings Corp.,10.59,14.56,-37.48819641170917,Public Utilities
AWI,Armstrong World Industries Inc,95.42,58.21,38.99601760637183,Consumer Non-Durables
AWK,American Water Works,115.38,90.77,21.329519847460567,Public Utilities
AWR,American States Water Company,76.58,67.04,12.457560720814824,Public Utilities
AX,"Axos Financial, Inc.",25.64,25.18,1.794071762870518,Finance
AXE,Anixter International Inc.,57.42,54.31,5.416231278300242,Consumer Non-Durables
AXL,"American Axle & Manufacturing Holdings, Inc.",8.55,11.1,-29.82456140350876,Capital Goods
AXO,"Axos Financial, Inc.",25.949,24.69,4.851824733130372,Finance
AXP,American Express Company,120.72,95.32,21.04042412193506,Finance
AXR,AMREP Corporation,6.16,5.95,3.4090909090909083,Consumer Services
AXS,Axis Capital Holdings Limited,62.33,51.64,17.150649767367234,Finance
AXTA,Axalta Coating Systems Ltd.,28.22,23.42,17.009213323883763,Basic Industries
AYI,"Acuity Brands, Inc. ",127.56,114.95,9.885544057698338,Consumer Durables
AYR,Aircastle Limited,19.5,17.24,11.589743589743598,Technology
AYX,"Alteryx, Inc.",125.65,59.47,52.67011539992041,Technology
AZN,Astrazeneca PLC,43.56,37.98,12.809917355371914,Health Care
AZO,"AutoZone, Inc.",1062.92,838.34,21.128589169457722,Consumer Services
